Filename,Label
acomic.wav,Speech
ballad.wav,Music
acomic2.wav,Speech
allison.wav,Speech
amal.wav,Speech
austria.wav,Speech
bagpipe.wav,Music
bartok.wav,Music
bathroom1.wav,Speech
beat.wav,Music
beatles.wav,Music
bigband.wav,Music
birdland.wav,Music
blues.wav,Music
bmarsalis.wav,Music
brahms.wav,Music
canonaki.wav,Music
caravan.wav,Music
chaka.wav,Music
chant.wav,Speech
charles.wav,Speech
china.wav,Speech
classical.wav,Music
classical1.wav,Music
classical2.wav,Music
comedy.wav,Speech
comedy1.wav,Speech
conversion.wav,Speech
copland.wav,Music
copland2.wav,Music
corea.wav,Music
corea1.wav,Music
cure.wav,Music
danie.wav,Speech
danie1.wav,Speech
debussy.wav,Music
deedee.wav,Music
deedee1.wav,Music
dialogue.wav,Speech
dialogue1.wav,Speech
dialogue2.wav,Speech
diamond.wav,Speech
duke.wav,Music
echoes.wav,Music
eguitar.wav,Music
ellhnika.wav,Speech
emil.wav,Speech
fem_rock.wav,Speech
female.wav,Speech
fire.wav,Speech
geography.wav,Speech
geography1.wav,Speech
georg.wav,Speech
georose.wav,Music
gismonti.wav,Music
glass.wav,Music
glass1.wav,Music
god.wav,Speech
gravity.wav,Music
gravity2.wav,Music
greek.wav,Speech
greek1.wav,Speech
guitar.wav,Music
hendrix.wav,Music
india.wav,Speech
ipanema.wav,Music
jazz.wav,Music
jazz1.wav,Music
jony.wav,Speech
jvoice.wav,Speech
kedar.wav,Speech
kid.wav,Speech
led.wav,Music
lena.wav,Speech
loreena.wav,Music
madradeus.wav,Music
magkas.wav,Music
male.wav,Speech
march.wav,Music
marlene.wav,Music
mingus.wav,Music
mingus1.wav,Music
misirlou.wav,Music
moanin.wav,Music
my_voice.wav,Speech
narch.wav,Music
ncherry.wav,Music
nearhou.wav,Music
nether.wav,Speech
news1.wav,Speech
news2.wav,Speech
nj105.wav,Speech
nj105a.wav,Speech
oneday.wav,Speech
opera.wav,Music
opera1.wav,Music
pop.wav,Music
prodigy.wav,Music
psychic.wav,Speech
pulp.wav,Speech
pulp1.wav,Speech
pulp2.wav,Speech
redhot.wav,Music
relation.wav,Speech
rock.wav,Music
rock2.wav,Music
russo.wav,Music
serbian.wav,Speech
shannon.wav,Speech
sleep.wav,Speech
smoke1.wav,Speech
smoking.wav,Speech
stupid.wav,Speech
teachers.wav,Speech
teachers1.wav,Speech
teachers2.wav,Speech
thlui.wav,Speech
tony.wav,Music
u2.wav,Music
undergrad.wav,Speech
unpoco.wav,Music
vegetables.wav,Speech
vegetables1.wav,Speech
vegetables2.wav,Speech
vlobos.wav,Music
voice.wav,Speech
voices.wav,Speech
winds.wav,Music